"id" "sex" "age" "KRN" "bKRN"
"542" "XBSA_5H6" 1 90 9 -1
"543" "XBSA_7H3" 1 90 12 0
"544" "XBSA_5H7" 1 90 9 -1
"545" "XBSA_5H8" 1 90 9 -1
"546" "XBSA_5A9" 1 90 9 -1
"547" "XBSA_1D1" 1 90 26 1
"548" "XBSA_7H2" 1 90 13 0
"549" "XBSA_2F4" 1 90 18 1
"550" "XBSA_5A10" 1 90 9 -1
"551" "XBSA_5A11" 1 90 9 -1
"552" "XBSA_7H1" 1 90 12 0
"553" "XBSA_7G4" 1 90 14 0
"554" "XBSA_5A12" 1 90 9 -1
"555" "XBSA_7G3" 1 90 15 0
"556" "XBSA_7G2" 1 90 14 0
"557" "XBSA_2G1" 1 90 18 1
"558" "XBSA_5B9" 1 90 9 -1
"559" "XBSA_5B10" 1 90 9 -1
"560" "XBSA_2G2" 1 90 18 1
"561" "XBSA_5B11" 1 90 9 -1
"562" "XBSA_5B12" 1 90 8 -1
"563" "XBSA_5C9" 1 90 9 -1
"564" "XBSA_2G3" 1 90 18 1
"565" "XBSA_2G4" 1 90 19 1
"566" "XBSA_5C10" 1 90 9 -1
"567" "XBSA_5C11" 1 90 9 -1
"568" "XBSA_5C12" 1 90 8 -1
"569" "XBSA_2H2" 1 90 19 1
"570" "XBSA_2H3" 1 90 20 1
"571" "XBSA_7G1" 1 90 13 0
"572" "XBSA_5D9" 1 90 9 -1
"573" "XBSA_5D10" 1 90 9 -1
"574" "XBSA_2H4" 1 90 18 1
"575" "XBSA_5D11" 1 90 9 -1
"576" "XBSA_5D12" 1 90 9 -1
"577" "XBSA_5E9" 1 90 9 -1
"578" "XBSA_5E10" 1 90 8 -1
"579" "XBSA_4D4" 1 90 6 -1
"580" "XBSA_2A5" 1 90 19 1
"581" "XBSA_2A6" 1 90 18 1
"582" "XBSA_5E11" 1 90 9 -1
"583" "XBSA_2A7" 1 90 19 1
"584" "XBSA_5E12" 1 90 8 -1
"585" "XBSA_7F4" 1 90 13 0
"586" "XBSA_7F3" 1 90 9 0
"587" "XBSA_2A8" 1 90 19 1
"588" "XBSA_5F9" 1 90 9 -1
"589" "XBSA_5F10" 1 90 9 -1
"590" "XBSA_1D2" 1 90 22 1
"591" "XBSA_1D3" 1 90 13 1
"592" "XBSA_5F11" 1 90 8 -1
"593" "XBSA_5F12" 1 90 9 -1
"594" "XBSA_7F2" 1 90 14 0
"595" "XBSA_7F1" 1 90 13 0
"596" "XBSA_7E4" 1 90 15 0
"597" "XBSA_7E3" 1 90 11 0
"598" "XBSA_7E2" 1 90 14 0
"599" "XBSA_7E1" 1 90 11 0
"600" "XBSA_7D4" 1 90 12 0
"601" "XBSA_7D3" 1 90 12 0
"602" "XBSA_7D2" 1 90 12 0
"603" "XBSA_2B5" 1 90 20 1
"604" "XBSA_5G9" 1 90 9 -1
"605" "XBSA_5G10" 1 90 9 -1
"606" "XBSA_2B6" 1 90 21 1
"607" "XBSA_7D1" 1 90 16 0
"608" "XBSA_2B7" 1 90 21 1
"609" "XBSA_1D4" 1 90 22 1
"610" "XBSA_1E1" 1 90 24 1
"611" "XBSA_1E2" 1 90 27 1
"612" "XBSA_2B8" 1 90 21 1
"613" "XBSA_2C5" 1 90 21 1
"614" "XBSA_2C6" 1 90 19 1
"615" "XBSA_7C4" 1 90 16 0
"616" "XBSA_2C7" 1 90 20 1
"617" "XBSA_2C8" 1 90 23 1
"618" "XBSA_5G11" 1 90 8 -1
"619" "XBSA_5G12" 1 90 9 -1
"620" "XBSA_7C3" 1 90 15 0
"621" "XBSA_7C2" 1 90 12 0
"622" "XBSA_7C1" 1 90 13 0
"623" "XBSA_7C10" 1 90 13 0
"624" "XBSA_7C9" 1 90 13 0
"625" "XBSA_7B12" 1 90 12 0
"626" "XBSA_7B11" 1 90 10 0
"627" "XBSA_5H9" 1 90 9 -1
"628" "XBSA_5H10" 1 90 9 -1
"629" "XBSA_5H11" 1 90 9 -1
"630" "XBSA_2D5" 1 90 20 1
"631" "XBSA_2D6" 1 90 18 1
"632" "XBSA_5H12" 1 90 9 -1
"633" "XBSA_3A6" 1 90 9 -1
"634" "XBSA_3B6" 1 90 9 -1
"635" "XBSA_3C6" 1 90 8 -1
"636" "XBSA_2D7" 1 90 19 1
"637" "XBSA_3D6" 1 90 9 -1
"638" "XBSA_2D8" 1 90 22 1
"639" "XBSA_3E6" 1 90 9 -1
"640" "XBSA_1E3" 1 90 25 1
"641" "XBSA_7B10" 1 90 11 0
"642" "XBSA_7B9" 1 90 12 0
"643" "XBSA_3F6" 1 90 9 -1
"644" "XBSA_4E1" 1 90 7 -1
"645" "XBSA_7A12" 1 90 11 0
"646" "XBSA_3G6" 1 90 9 -1
"647" "XBSA_3H6" 1 90 9 -1
"648" "XBSA_3A7" 1 90 9 -1
"649" "XBSA_3B7" 1 90 9 -1
"650" "XBSA_7A11" 1 90 10 0
"651" "XBSA_3C7" 1 90 8 -1
"652" "XBSA_7A10" 1 90 9 0
"653" "XBSA_7A9" 1 90 12 0
"654" "XBSA_7H8" 1 90 13 0
"655" "XBSA_7H7" 1 90 10 0
"656" "XBSA_2E5" 1 90 19 1
"657" "XBSA_3D7" 1 90 7 -1
"658" "XBSA_7H6" 1 90 9 0
"659" "XBSA_2E6" 1 90 18 1
"660" "XBSA_7H5" 1 90 13 0
"661" "XBSA_7G8" 1 90 9 0
"662" "XBSA_1E4" 1 90 23 1
"663" "XBSA_7G7" 1 90 17 0
"664" "XBSA_3E7" 1 90 8 -1
"665" "XBSA_7G6" 1 90 14 0
"666" "XBSA_2E7" 1 90 18 1
"667" "XBSA_7G5" 1 90 14 0
"668" "XBSA_2E8" 1 90 18 1
"669" "XBSA_7F8" 1 90 14 0
"670" "XBSA_2F5" 1 90 18 1
"671" "XBSA_7F7" 1 90 14 0
"672" "XBSA_7F6" 1 90 14 0
"673" "XBSA_7F5" 1 90 14 0
"674" "XBSA_2F6" 1 90 18 1
"675" "XBSA_2F7" 1 90 20 1
"676" "XBSA_2F8" 1 90 21 1
"677" "XBSA_2G5" 1 90 19 1
"678" "XBSA_7E8" 1 90 10 0
"679" "XBSA_2G6" 1 90 19 1
"680" "XBSA_7E7" 1 90 11 0
"681" "XBSA_2G7" 1 90 18 1
"682" "XBSA_7E6" 1 90 15 0
"683" "XBSA_2G8" 1 90 18 1
"684" "XBSA_7E5" 1 90 13 0
"685" "XBSA_7D8" 1 90 16 0
"686" "XBSA_4E2" 1 90 8 -1
"687" "XBSA_4E3" 1 90 8 -1
"688" "XBSA_3F7" 1 90 8 -1
"689" "XBSA_7D7" 1 90 13 0
"690" "XBSA_1F1" 1 90 17 1
"691" "XBSA_2H5" 1 90 18 1
"692" "XBSA_7D6" 1 90 12 0
"693" "XBSA_2H6" 1 90 21 1
"694" "XBSA_7D5" 1 90 10 0
"695" "XBSA_2H7" 1 90 18 1
"696" "XBSA_2H8" 1 90 18 1
"697" "XBSA_7C8" 1 90 11 0
"698" "XBSA_2A9" 1 90 18 1
"699" "XBSA_7C7" 1 90 12 0
"700" "XBSA_7C6" 1 90 16 0
"701" "XBSA_2A10" 1 90 19 1
"702" "XBSA_6E10" 1 90 16 0
"703" "XBSA_2A11" 1 90 19 1
"704" "XBSA_2B9" 1 90 18 1
"705" "XBSA_6D10" 1 90 14 0
"706" "XBSA_6C10" 1 90 15 0
"707" "XBSA_2B10" 1 90 18.5 1
"708" "XBSA_2B11" 1 90 18 1
"709" "XBSA_2B12" 1 90 18 1
"710" "XBSA_2C9" 1 90 19 1
"711" "XBSA_2C10" 1 90 20 1
"712" "XBSA_1F2" 1 90 18 1
"713" "XBSA_1F3" 1 90 18 1
"714" "XBSA_3G7" 1 90 8 -1
"715" "XBSA_3H7" 1 90 8 -1
"716" "XBSA_2C11" 1 90 18 1
"717" "XBSA_2C12" 1 90 18 1
"718" "XBSA_6B10" 1 90 14 0
"719" "XBSA_6A10" 1 90 9 0
"720" "XBSA_6H9" 1 90 15 0
"721" "XBSA_2D9" 1 90 24 1
"722" "XBSA_6G9" 1 90 14 0
"723" "XBSA_6F9" 1 90 21 0
"724" "XBSA_1F4" 1 90 26 1
"725" "XBSA_1G1" 1 90 23 1
"726" "XBSA_2D10" 1 90 18 1
"727" "XBSA_1G2" 1 90 23 1
"728" "XBSA_2D11" 1 90 21 1
"729" "XBSA_2D12" 1 90 24 1
"730" "XBSA_2E9" 1 90 22 1
"731" "XBSA_6E9" 1 90 18 0
"732" "XBSA_2E10" 1 90 21 1
