"Genotype"	"Estimate"	"StdErr"
"291"	"B73xMo17"	15.5183	0.07165
"292"	"M0001"	15.8634	0.4241
"293"	"M0002"	15.5334	0.4595
"294"	"M0004"	12.6328	0.8081
"295"	"M0005"	11.0841	0.409
"296"	"M0006"	13.1674	0.4419
"297"	"M0007"	11.4289	0.458
"298"	"M0008"	14.5868	0.4239
"299"	"M0010"	16.3409	0.3851
"300"	"M0011"	16.1073	0.4405
"301"	"M0012"	14.2122	0.549
"302"	"M0013"	15.7473	0.5855
"303"	"M0014"	15.2973	0.5757
"304"	"M0015"	13.8522	0.4929
"305"	"M0016"	14.055	0.4238
"306"	"M0017"	13.9718	0.409
"307"	"M0021"	12.651	0.3966
"308"	"M0022"	14.2061	0.3337
"309"	"M0023"	12.9122	0.481
"310"	"M0024"	11.7631	0.481
"311"	"M0025"	15.4104	0.4406
"312"	"M0026"	12.2086	0.4843
"313"	"M0027"	11.4391	0.4715
"314"	"M0028"	11.1023	0.41
"315"	"M0029"	14.2288	0.4609
"316"	"M0030"	15.0975	0.5372
"317"	"M0031"	13.3859	0.4092
"318"	"M0032"	12.6192	0.808
"319"	"M0033"	14.065	0.471
"320"	"M0034"	17.6376	0.458
"321"	"M0035"	11.8229	0.4229
"322"	"M0039"	13.5751	0.5102
"323"	"M0043"	13.4957	0.4809
"324"	"M0044"	13.2594	0.6377
"325"	"M0045"	16.0163	0.5401
"326"	"M0046"	13.0815	0.4262
"327"	"M0047"	11.8448	0.6279
"328"	"M0048"	12.7007	0.446
"329"	"M0051"	13.0475	0.4609
"330"	"M0052"	15.5298	0.4609
"331"	"M0053"	14.0032	0.5373
"332"	"M0054"	13.4909	0.8081
"333"	"M0055"	12.0184	1.3809
"334"	"M0056"	16.9971	0.4393
"335"	"M0057"	12.5645	0.7048
"336"	"M0058"	18.9307	0.4394
"337"	"M0059"	13.9891	0.5425
"338"	"M0060"	13.6876	0.4091
"339"	"M0061"	13.3633	0.5791
"340"	"M0064"	14.4195	0.6461
"341"	"M0065"	16.8639	0.9767
"342"	"M0066"	18.0649	0.4713
"343"	"M0067"	13.5463	0.54
"344"	"M0069"	14.7572	0.4239
"345"	"M0071"	13.8038	0.481
"346"	"M0075"	11.9685	0.6279
"347"	"M0076"	15.756	1.3809
"348"	"M0077"	13.1668	0.6375
"349"	"M0079"	11.8453	0.5101
"350"	"M0080"	13.8179	0.4579
"351"	"M0081"	13.3675	0.5789
"352"	"M0084"	12.6672	0.3965
"353"	"M0085"	14.2126	0.4579
"354"	"M0086"	15.5366	0.4393
"355"	"M0088"	13.5644	0.4238
"356"	"M0090"	13.6735	0.41
"357"	"M0091"	13.35	0.4793
"358"	"M0092"	12.0058	0.6975
"359"	"M0093"	11.5858	0.5865
"360"	"M0095"	14.9934	0.4579
"361"	"M0096"	13.4669	0.442
"362"	"M0097"	15.1529	0.5373
"363"	"M0098"	14.2842	0.4864
"364"	"M0099"	11.9508	0.9766
"365"	"M0100"	11.2424	0.4394
"366"	"M0101"	13.9883	0.7978
"367"	"M0102"	15.7764	0.4101
"368"	"M0103"	11.7772	0.4642
"369"	"M0104"	12.5131	0.9766
"370"	"M0105"	14.078	0.5865
"371"	"M0106"	12.85	0.5374
"372"	"M0107"	12.2294	1.3805
"373"	"M0109"	12.7715	0.6323
"374"	"M0110"	14.1745	0.5401
"375"	"M0113"	17.7239	0.5102
"376"	"M0114"	16.1994	0.458
"377"	"M0115"	14.0072	0.5757
"378"	"M0116"	12.2601	0.4595
"379"	"M0117"	13.9294	0.4595
"380"	"M0118"	13.4338	0.4393
"381"	"M0120"	14.7471	0.4419
"382"	"M0121"	13.7735	0.4864
"383"	"M0122"	14.5509	0.4394
"384"	"M0123"	12.5869	0.4713
"385"	"M0124"	13.6973	0.4579
