order,Pedigree,Genotype,Note,KRN,QS,ST
352,10NAM-159-22@,Z018E0153,Mo18W,18,4,T
353,10NAM-159-23@,Z018E0153,Mo18W,16,3,T
354,10NAM-159-24@,Z018E0153,Mo18W,14,2,S
355,10NAM-160-21@,Z018E0154,Mo18W,14,5,S
356,10NAM-160-22@,Z018E0154,Mo18W,14,5,S
357,10NAM-160-23@,Z018E0154,Mo18W,16,5,S
358,10NAM-160-24@,Z018E0154,Mo18W,14,5,S
359,10NAM-161-21@,Z018E0155,Mo18W,18,3,T
360,10NAM-161-22@,Z018E0155,Mo18W,16,3,T
361,10NAM-161-23@,Z018E0155,Mo18W,18,5,S
362,10NAM-162-21@,Z018E0157,Mo18W,16,2,S
363,10NAM-162-22@,Z018E0157,Mo18W,16,3,T
364,10NAM-162-23@,Z018E0157,Mo18W,14,2,S
366,10NAM-163-21@,Z018E0158,Mo18W,15,4,S
367,10NAM-163-22@,Z018E0158,Mo18W,14,4,S
368,10NAM-163-23@,Z018E0158,Mo18W,18,5,S
369,10NAM-163-24@,Z018E0158,Mo18W,16,4,S
371,10NAM-164-21@,Z018E0159,Mo18W,16,5,S
372,10NAM-164-22@,Z018E0159,Mo18W,16,5,S
373,10NAM-164-23@,Z018E0159,Mo18W,18,3,T
374,10NAM-165-21@,Z018E0160,Mo18W,16,3,T
375,10NAM-165-22@,Z018E0160,Mo18W,16,3,T
376,10NAM-165-23@,Z018E0160,Mo18W,14,2,S
378,10NAM-166-21@,Z018E0161,Mo18W,16,3,S
379,10NAM-167-21@,Z018E0162,Mo18W,16,3,T
381,10NAM-168-21@,Z018E0163,Mo18W,18,4,T
382,10NAM-168-22@,Z018E0163,Mo18W,16,3,T
383,10NAM-168-23@,Z018E0163,Mo18W,15,3,T
385,10NAM-169-21@,Z018E0164,Mo18W,18,4,T
386,10NAM-169-22@,Z018E0164,Mo18W,16,5,S
387,10NAM-169-23@,Z018E0164,Mo18W,14,2,S
388,10NAM-169-24@,Z018E0164,Mo18W,16,3,S
389,10NAM-170-21@,Z018E0165,Mo18W,,,
391,10NAM-171-21@,Z018E0166,Mo18W,16,3,T
392,10NAM-171-22@,Z018E0166,Mo18W,16,1,S
394,10NAM-172-21@,Z018E0167,Mo18W,14,4,T
395,10NAM-172-22@,Z018E0167,Mo18W,14,3,S
396,10NAM-172-23@,Z018E0167,Mo18W,16,5,S
397,10NAM-173-21@,Z018E0168,Mo18W,12,3,T
398,10NAM-174-21@,Z018E0169,Mo18W,16,2,S
399,10NAM-174-22@,Z018E0169,Mo18W,16,3,T
400,10NAM-174-23@,Z018E0169,Mo18W,18,4,S
401,10NAM-175-21@,Z018E0170,Mo18W,16,4,S
402,10NAM-175-22@,Z018E0170,Mo18W,12,3,T
403,10NAM-175-23@,Z018E0170,Mo18W,14,4,S
404,10NAM-175-24@,Z018E0170,Mo18W,14,3,S
408,10NAM-177-21@,Z018E0172,Mo18W,18,3,S
409,10NAM-177-22@,Z018E0172,Mo18W,20,5,S
410,10NAM-177-23@,Z018E0172,Mo18W,20,3,T
412,10NAM-178-21@,Z018E0173,Mo18W,20,4,S
413,10NAM-178-22@,Z018E0173,Mo18W,20,5,S
414,10NAM-178-23@,Z018E0173,Mo18W,18,3,S
415,10NAM-178-24@,Z018E0173,Mo18W,20,5,S
416,10NAM-178-25@,Z018E0173,Mo18W,22,4,T
417,10NAM-179-21@,Z018E0174,Mo18W,13,3,T
419,10NAM-180-21@,Z018E0175,Mo18W,16,4,S
421,10NAM-181-21@,Z018E0176,Mo18W,20,4,S
422,10NAM-181-22@,Z018E0176,Mo18W,22,5,S
423,10NAM-181-23@,Z018E0176,Mo18W,16,2,T
425,10NAM-182-21@,Z018E0177,Mo18W,16,4,T
426,10NAM-182-22@,Z018E0177,Mo18W,15,4,T
427,10NAM-182-23@,Z018E0177,Mo18W,14,4,S
428,10NAM-182-24@,Z018E0177,Mo18W,14,4,S
429,10NAM-183-21@,Z018E0178,Mo18W,18,4,S
430,10NAM-183-22@,Z018E0178,Mo18W,14,5,S
431,10NAM-183-23@,Z018E0178,Mo18W,14,4,S
432,10NAM-184-21@,Z018E0179,Mo18W,16,2,S
433,10NAM-184-22@,Z018E0179,Mo18W,18,4,S
434,10NAM-185-21@,Z018E0180,Mo18W,18,4,S
435,10NAM-185-22@,Z018E0180,Mo18W,17,3,S
437,10NAM-186-21@,Z018E0181,Mo18W,17,3,T
438,10NAM-187-21@,Z018E0182,Mo18W,14,3,T
439,10NAM-187-22@,Z018E0182,Mo18W,12,4,S
440,10NAM-187-23@,Z018E0182,Mo18W,12,3,S
441,10NAM-188-21@,Z018E0183,Mo18W,14,2,S
