Genotype,Population,Subpopulation,KRN
B73xZ017E0008,BxRIL,Z017,16.7
B73xZ017E0009,BxRIL,Z017,17.5
B73xZ017E0010,BxRIL,Z017,17.4
B73xZ017E0011,BxRIL,Z017,16.5
B73xZ017E0012,BxRIL,Z017,17.4
B73xZ017E0013,BxRIL,Z017,15.7
B73xZ017E0014,BxRIL,Z017,15.2
B73xZ017E0015,BxRIL,Z017,16.9
B73xZ017E0016,BxRIL,Z017,15.2
B73xZ017E0017,BxRIL,Z017,16
B73xZ017E0018,BxRIL,Z017,16.5
B73xZ017E0019,BxRIL,Z017,17.1
B73xZ017E0020,BxRIL,Z017,15.3
B73xZ017E0021,BxRIL,Z017,14.4
B73xZ017E0022,BxRIL,Z017,15.3
B73xZ017E0023,BxRIL,Z017,18.2
B73xZ017E0024,BxRIL,Z017,14.8
B73xZ017E0025,BxRIL,Z017,17.3
B73xZ017E0027,BxRIL,Z017,15.5
B73xZ017E0028,BxRIL,Z017,16.3
B73xZ017E0029,BxRIL,Z017,17.2
B73xZ017E0030,BxRIL,Z017,16.4
B73xZ017E0031,BxRIL,Z017,14.8
B73xZ017E0032,BxRIL,Z017,16
B73xZ017E0033,BxRIL,Z017,16.6
B73xZ017E0034,BxRIL,Z017,16.9
B73xZ017E0035,BxRIL,Z017,17.6
B73xZ017E0036,BxRIL,Z017,16.3
B73xZ017E0037,BxRIL,Z017,19.7
B73xZ017E0038,BxRIL,Z017,16.5
B73xZ017E0039,BxRIL,Z017,16
B73xZ017E0043,BxRIL,Z017,16.3
B73xZ017E0045,BxRIL,Z017,15.6
B73xZ017E0046,BxRIL,Z017,17.5
B73xZ017E0047,BxRIL,Z017,16.9
B73xZ017E0048,BxRIL,Z017,15
B73xZ017E0049,BxRIL,Z017,16
B73xZ017E0050,BxRIL,Z017,17.7
B73xZ017E0051,BxRIL,Z017,17.9
B73xZ017E0052,BxRIL,Z017,17.5
B73xZ017E0053,BxRIL,Z017,17
B73xZ017E0054,BxRIL,Z017,16.2
B73xZ017E0055,BxRIL,Z017,18.8
B73xZ017E0056,BxRIL,Z017,18.3
B73xZ017E0057,BxRIL,Z017,16.2
B73xZ017E0058,BxRIL,Z017,17.1
B73xZ017E0059,BxRIL,Z017,17.2
B73xZ017E0060,BxRIL,Z017,17.9
B73xZ017E0061,BxRIL,Z017,18.4
B73xZ017E0062,BxRIL,Z017,16.5
B73xZ017E0063,BxRIL,Z017,18
B73xZ017E0064,BxRIL,Z017,17.7
B73xZ017E0065,BxRIL,Z017,17.2
B73xZ017E0066,BxRIL,Z017,19.7
B73xZ017E0067,BxRIL,Z017,16.6
B73xZ017E0069,BxRIL,Z017,15.3
B73xZ017E0070,BxRIL,Z017,18.2
B73xZ017E0071,BxRIL,Z017,18.2
B73xZ017E0072,BxRIL,Z017,16.1
B73xZ017E0073,BxRIL,Z017,16.9
B73xZ017E0074,BxRIL,Z017,16.4
B73xZ017E0075,BxRIL,Z017,16.4
B73xZ017E0076,BxRIL,Z017,16
B73xZ017E0077,BxRIL,Z017,18.5
B73xZ017E0078,BxRIL,Z017,14.8
B73xZ017E0079,BxRIL,Z017,15.1
B73xZ017E0081,BxRIL,Z017,18
B73xZ017E0082,BxRIL,Z017,15.7
B73xZ017E0083,BxRIL,Z017,15.5
B73xZ017E0084,BxRIL,Z017,16.4
B73xZ017E0085,BxRIL,Z017,14.9
B73xZ017E0086,BxRIL,Z017,16.3
B73xZ017E0087,BxRIL,Z017,17.8
B73xZ017E0088,BxRIL,Z017,16.6
B73xZ017E0089,BxRIL,Z017,15.8
B73xZ017E0090,BxRIL,Z017,16.2
B73xZ017E0091,BxRIL,Z017,15.3
B73xZ017E0092,BxRIL,Z017,17.2
B73xZ017E0093,BxRIL,Z017,16.9
B73xZ017E0094,BxRIL,Z017,15.8
B73xZ017E0100,BxRIL,Z017,16
B73xZ017E0101,BxRIL,Z017,17.5
B73xZ017E0104,BxRIL,Z017,15
B73xZ017E0105,BxRIL,Z017,16.7
B73xZ017E0107,BxRIL,Z017,16.3
B73xZ017E0109,BxRIL,Z017,15.9
B73xZ017E0110,BxRIL,Z017,15.6
B73xZ017E0111,BxRIL,Z017,17.1
B73xZ017E0112,BxRIL,Z017,16.6
B73xZ017E0113,BxRIL,Z017,16.6
B73xZ017E0114,BxRIL,Z017,16
B73xZ017E0115,BxRIL,Z017,19.9
B73xZ017E0116,BxRIL,Z017,16.2
B73xZ017E0117,BxRIL,Z017,16.5
B73xZ017E0118,BxRIL,Z017,16.8
B73xZ017E0119,BxRIL,Z017,16
B73xZ017E0120,BxRIL,Z017,16
B73xZ017E0122,BxRIL,Z017,14.5
B73xZ017E0123,BxRIL,Z017,17.2
B73xZ017E0124,BxRIL,Z017,15.8
B73xZ017E0126,BxRIL,Z017,17
B73xZ017E0127,BxRIL,Z017,16.1
B73xZ017E0128,BxRIL,Z017,19.2
B73xZ017E0129,BxRIL,Z017,18
B73xZ017E0130,BxRIL,Z017,15.3
B73xZ017E0132,BxRIL,Z017,15.3
B73xZ017E0133,BxRIL,Z017,16.4
B73xZ017E0134,BxRIL,Z017,17.7
B73xZ017E0137,BxRIL,Z017,19.2
B73xZ017E0139,BxRIL,Z017,17.2
B73xZ017E0141,BxRIL,Z017,18
B73xZ017E0142,BxRIL,Z017,17.1
B73xZ017E0144,BxRIL,Z017,17.5
B73xZ017E0146,BxRIL,Z017,17
B73xZ017E0147,BxRIL,Z017,18.4
B73xZ017E0150,BxRIL,Z017,14.6
B73xZ017E0152,BxRIL,Z017,16.2
B73xZ017E0153,BxRIL,Z017,16.6
B73xZ017E0154,BxRIL,Z017,16.9
B73xZ017E0155,BxRIL,Z017,16.4
